keyword,pool,family,scenario,pilot_selected,pilot_order,source,validation_status,search_volume_30d,trend_90d_pct,cpc_usd,conversion_rate,purchase_count_30d,spr,title_density,top3_purchase_share,avg_price,avg_review_count,notes
women's shoulder bag,MAINSTREAM,shoulder,everyday,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
women's crossbody bag,MAINSTREAM,crossbody,everyday,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
women's hobo bag,MAINSTREAM,hobo,everyday,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
women's tote bag,MAINSTREAM,tote,everyday,NO,,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
women's work bag,MAINSTREAM,work,work,NO,,plan,NEEDS_DATA,,,,,,,,,,,
slouchy work tote bag,MAINSTREAM,work,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
crescent work tote bag,MAINSTREAM,crescent,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
convertible shoulder tote bag for women,MAINSTREAM,convertible,work,NO,,user_scope_update,NEEDS_DATA,,,,,,,,,,,
quilted shoulder tote bag,MAINSTREAM,quilted,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
puffer work tote bag,MAINSTREAM,puffer,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
denim work tote bag,MAINSTREAM,denim,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
women's crescent bag,MAINSTREAM,crescent,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
woven work tote bag,MAINSTREAM,woven,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
women's mini top handle purse,MAINSTREAM,mini_top_handle,everyday,YES,5,user_scope_update,NEEDS_DATA,,,,,,,,,,,
bow work tote bag,MAINSTREAM,bow,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
asymmetrical tote bag,MAINSTREAM,asymmetrical,statement,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
women's concert bag,MAINSTREAM,concert,concert,NO,,plan,NEEDS_DATA,,,,,,,,,,,
unique multi pocket work tote bag,MAINSTREAM,multi_pocket,work,NO,,final_longtail,NEEDS_DATA,,,,,,,,,,,
small shoulder bag for women,MAINSTREAM,shoulder,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
small crossbody purse for women,MAINSTREAM,crossbody,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
large tote bag for women,MAINSTREAM,tote,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
work tote bag for women,MAINSTREAM,work,work,YES,1,plan,NEEDS_DATA,,,,,,,,,,,
slouchy hobo bag for women,MAINSTREAM,hobo,everyday,YES,3,plan+local_seed,NEEDS_DATA,,,,,,,,,,,
leather shoulder bag for women,MAINSTREAM,shoulder,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
nylon crossbody bag for women,MAINSTREAM,crossbody,travel,NO,,plan,NEEDS_DATA,,,,,,,,,,,
canvas tote bag with zipper,MAINSTREAM,tote,work,NO,,plan,NEEDS_DATA,,,,,,,,,,,
quilted shoulder bag for women,MAINSTREAM,shoulder,everyday,NO,,plan,NEEDS_DATA,,,,,,,,,,,
chain strap purse for women,MAINSTREAM,shoulder,evening,NO,,plan,NEEDS_DATA,,,,,,,,,,,
structured satchel bag for women,MAINSTREAM,satchel,work,NO,,plan,NEEDS_DATA,,,,,,,,,,,
convertible shoulder crossbody purse,MAINSTREAM,convertible,travel,NO,,user_scope_update,NEEDS_DATA,,,,,,,,,,,
